,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
9933,38.0,0.5,-2.3,60.3,-0.4,0,-8.958747036239375,0.0
12674,37.0,0.2,4.5,53.7,10.5,0,-4.090748251267616,0.0
27567,337.0,0.8,5.8,40.8,17.4,0,-6.524902000725803,0.0
20616,0.0,0.2,0.0,86.7,4.2,4,-1.9533717028938469,0.0
7915,42.0,0.4,-9.4,99.9,-5.7,0,-9.412757297866511,0.0
17087,235.0,0.2,-6.1,99.9,-3.6,4,-6.1131200833317365,0.0
22078,276.0,1.5,6.8,55.2,23.6,0,-1.573613282827529,0.0
17448,0.0,0.0,3.3,76.7,7.8,4,-0.4036844480816904,0.0
19593,0.0,0.0,-0.7,77.4,3.9,0,-4.164258726648777,0.0
21332,0.0,0.2,3.3,65.0,6.5,0,-2.65872013435996,0.0
10727,86.0,0.5,-7.0,94.5,-3.1,0,-7.733965679650764,0.0
10596,272.0,0.4,-2.3,58.6,1.7,0,-9.324217070623906,0.0
23062,21.0,0.2,-8.1,81.8,-3.5,0,-10.662048325354883,0.0
23907,0.0,0.0,-9.3,99.9,-4.8,0,-9.3127682166399,0.0
3926,87.0,0.3,-6.0,99.9,-3.3,0,-6.0131311562265255,0.0
26833,231.0,1.1,2.0,37.9,10.6,0,-10.892457024029708,0.0
24518,182.0,0.8,-3.7,90.3,-0.8,0,-5.057576071400512,0.0
2868,350.0,0.8,-0.2,35.7,16.0,0,-13.605769416633905,0.0
8424,261.0,1.0,2.4,62.1,5.8,0,-4.12591258140921,0.0
12557,12.0,0.4,6.3,53.1,19.7,0,-2.56577601715294,0.0
576,3.9,0.02,9.22,9.99,-4.6,4,-20.930064419239763,0.0
266,0.0,0.0,9.7,9.11,1.3,0,-21.61917331310789,0.0
767,25.0,1.0,2.9,47.7,17.9,0,-7.1324001142247155,0.0
26123,66.0,0.7,2.9,44.5,12.5,0,-8.031725982027595,0.0
5555,5.0,0.3,-6.5,29.2,10.0,0,-21.564865283961925,0.0
15433,256.0,1.2,9.0,36.0,15.9,0,-5.299866888428978,0.0
9970,8.0,0.3,-3.7,69.8,-1.6,0,-8.416246178168041,0.0
6328,80.0,0.6,-6.5,99.9,-1.7,0,-6.5130758384559835,0.0
16412,98.0,1.2,-2.3,99.9,0.8,4,-2.3135441365799325,0.0
16538,303.0,0.7,1.2,99.9,10.2,4,1.1860593217157045,0.0
3262,42.0,0.5,-2.7,62.7,0.9,0,-8.83793137985625,0.0
7416,0.0,0.0,-16.4,98.9,-11.8,0,-16.53264510774855,0.0
28213,349.0,1.0,5.8,44.7,15.7,0,-5.325926966010034,0.0
21956,339.0,0.1,2.7,95.5,5.7,4,2.0522098650295053,0.0
6804,193.0,1.1,-4.5,61.1,1.6,0,-10.873460852673793,0.0
23958,67.0,0.8,-1.3,57.4,3.2,0,-8.64765455647936,0.0
24817,66.0,0.5,9.6,29.9,28.2,0,-7.203174908709802,0.0
1721,292.0,1.0,1.9,72.4,2.8,0,-2.5440719036974246,0.0
13012,0.0,0.0,-7.0,99.9,-4.1,4,-7.013020637443981,0.0
19151,75.0,0.4,-3.7,92.5,-0.7,0,-4.73869120112338,0.0
14177,0.0,0.0,-1.7,81.1,3.2,0,-4.516956733712196,0.0
21127,64.0,0.3,1.5,69.0,4.7,0,-3.575742525636324,0.0
27131,8.0,0.1,1.0,55.4,7.6,0,-6.948599228483364,0.0
28336,324.0,1.2,12.4,24.5,32.1,0,-7.3776525380779825,0.0
23339,271.0,0.9,2.9,28.0,21.5,0,-13.860531901455483,0.0
21738,284.0,0.5,4.5,64.1,6.6,0,-1.7060300282663643,0.0
12363,0.0,0.0,-9.4,99.9,-5.9,4,-9.412757297866511,0.0
13538,7.0,0.2,-2.8,89.6,1.0,4,-4.2714552530303935,0.0
19396,91.0,0.7,7.1,39.8,20.4,0,-5.677796211139102,0.0
11304,333.0,0.7,-1.8,45.0,2.8,0,-12.187954396701764,0.0
26485,7.0,0.3,-2.3,58.0,1.8,0,-9.455464079359755,0.0
2974,0.0,0.0,-4.6,73.3,2.0,0,-8.655001977170832,0.0
22788,93.0,2.8,4.0,15.4,24.3,0,-20.07177214140568,0.0
21620,0.0,0.0,4.8,62.4,7.8,4,-1.7868868902234518,0.0
